./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
63  62  57  57  57  58  67  57  56  57  max: 67  average 10: 59  average total: 59 0KB/s(in)
20:21.22 61 60  61  61  51  56  55  56  54  54  max: 61  average 10: 56  average total: 56
20:21.22 54 63  63  53  62  62  52  61  57  57  max: 63  average 10: 58  average total: 58
20:21.23 56 56  65  65  53  64  54  64  63  64  max: 65  average 10: 60  average total: 60
20:21.23 65 59  59  59  57  57  119 118 76  66  max: 119  average 10: 73  average total: 73
20:21.24 57 65  60  60  59  58  58  59  59  60  max: 65  average 10: 59  average total: 59
20:21.24 61 67  55  66  56  63  65  61  61  61  max: 67  average 10: 61  average total: 61
20:21.25 60 60  59  61  59  59  59  59  52  62  max: 62  average 10: 59  average total: 59
20:21.25 52 61  61  62  61  61  51  63  115 106 max: 115  average 10: 69  average total: 69
20:21.26 76 57  64  63  63  52  62  62  51  60  max: 76  average 10: 61  average total: 61
20:21.26 50 55  55  55  64  53  64  63  63  53  max: 64  average 10: 57  average total: 57
20:21.27 63 53  57  58  57  56  57  47  56  66  max: 66  average 10: 57  average total: 57
20:21.27 55 64  65  60  59  59  59  59  59  51  max: 65  average 10: 59  average total: 59
20:21.28 59 60  62  60  64  60  54  53  63  52  max: 64  average 10: 58  average total: 58 9.8KB/s(in)
20:21.28 63 63  62  54  61  57  231 213 193 174 max: 231  average 10: 117  average total: 117
20:21.29 164    137 107 66  61  62  72  62  239 218 max: 239  average 10: 118  average total: 118
20:21.29 208    166 138 118 77  71  77  84  92  111 max: 208  average 10: 114  average total: 114
20:21.30 102    102 112 100 109 112 109 295 352 302 max: 352  average 10: 169  average total: 169
20:21.31 252    290 288 290 263 248 220 203 177 132 max: 290  average 10: 236  average total: 236
20:21.31 133    125 334 308 289 268 246 206 175 154 max: 334  average 10: 223  average total: 223
20:21.31 113    86  52  61  60  50  60  51  51  60  max: 113  average 10: 64  average total: 64
20:21.32 54 57  54  54  64  55  62  61  62  60  max: 64  average 10: 58  average total: 58
20:21.32 60 60  50  54  54  55  54  54  64  53  max: 64  average 10: 55  average total: 55
20:21.33 62 65  60  59  59  60  58  59  58  60  max: 65  average 10: 60  average total: 60
20:21.33 48 59  64  55  56  63  53  64  53  59  max: 64  average 10: 57  average total: 57
20:21.34 60 60  62  56  57  67  56  55  66  65  max: 67  average 10: 60  average total: 60
20:21.34 123    111 80  60  58  58  58  58  58  47  max: 123  average 10: 71  average total: 71
20:21.35 57 70  57  59  60  61  60  60  58  60  max: 70  average 10: 60  average total: 60
20:21.35 58 59  59  50  54  55  65  54  64  65  max: 65  average 10: 58  average total: 58
20:21.36 65 55  55  65  65  54  58  58  59  58  max: 65  average 10: 59  average total: 59
20:21.36 58 56  56  56  66  65  65  61  60  61  max: 66  average 10: 60  average total: 60
20:21.37 60 59  59  46  59  56  56  57  66  62  max: 66  average 10: 58  average total: 58
20:21.37 51 60  61  61  62  51  59  59  49  59  max: 62  average 10: 57  average total: 57
